"Name","MAC address","Serial number","Tags","Local IP","Ethernet 1 LLDP","Schedule","Quality & retention profile"
"A.U.B.H.S. GR FL passage","ac:17:c8:0e:a6:9b","Q2FV-SXUB-7LHV","AUBHS","192.168.43.86","AUBHS-New-2nd BLD S1 POE / Port 21","Always on","Indore Profile MV12"
"A.U.B.H.S.3rd FL Class 4","ac:17:c8:0e:ac:41","Q2FV-QQ8P-JB8H","AUBHS","192.168.43.202","AUBHS-New-2nd BLD S1 POE / Port 13","Always on","Indore Profile MV12"
"A.U.B.H.S.4th FL Class 6","ac:17:c8:0e:ab:c3","Q2FV-P8SK-ZFPZ","AUBHS","192.168.43.187","AUBHS-New-2nd BLD S1 POE / Port 17","Always on","Indore Profile MV12"
"A.U.B.H.S. GR FL Com. Lab Camera 1","ac:17:c8:0e:ac:56","Q2FV-MXQV-RV2D","AUBHS","192.168.43.56","AUBHS-New-2nd BLD S1 POE / Port 18","Always on","Indore Profile MV12"
"A.U.B.H.S.2nd FL passage","ac:17:c8:0e:ab:87","Q2FV-HK86-6LLM","AUBHS","192.168.43.130","AUBHS-New-2nd BLD S1 POE / Port 20","Always on","Indore Profile MV12"
"A.U.B.H.S. 1st FL passage","ac:17:c8:0e:ab:7e","Q2FV-G9P3-4ENX","AUBHS","192.168.43.98","AUBHS-New-2nd BLD S1 POE / Port 19","Always on","Indore Profile MV12"
"A.U.B.H.S.3rd FL passage","ac:17:c8:0e:ac:23","Q2FV-8L2W-2LL8","AUBHS","192.168.43.95","AUBHS-New-2nd BLD S2 / Port 21","Always on","Indore Profile MV12"
"A.U.B.H.S.4th FL Class 5","08:f1:b3:8f:35:de","Q2FV-5ETG-W6ME","AUBHS","192.168.43.112","AUBHS-New-2nd BLD S1 POE / Port 11","Always on","Indore Profile MV12"
"A.U.B.H.S. GR FL Com. Lab Camera 2","ac:17:c8:0e:ac:50","Q2FV-4SQ8-NFM3","AUBHS","192.168.43.183","AUBHS-New-2nd BLD S1 POE / Port 22","Always on","Indore Profile MV12"
"A.U.B.H.S.2nd FL Class 2","ac:17:c8:0e:ab:a8","Q2FV-4DW3-S5VB","AUBHS","192.168.43.100","AUBHS-New-2nd BLD S1 POE / Port 12","Always on","Indore Profile MV12"
"A.U.B.H.S. 1st FL hall camera 2","ac:17:c8:0e:ab:72","Q2FV-3U63-VQQN","AUBHS","192.168.43.104","AUBHS-New-2nd BLD S1 POE / Port 9","Always on","Indore Profile MV12"
